#15310-LN	CVCL_E548	Homo sapiens
#2774	CVCL_0420	Homo sapiens
#490	CVCL_B375	Mus musculus
#5.2	CVCL_L592	Mus musculus
#5838	CVCL_6255	Homo sapiens
#6647	CVCL_H722	Homo sapiens
#693	CVCL_5746	Mus musculus
#822	CVCL_X345	Mus musculus
#W7079	CVCL_E549	Homo sapiens
#W7079 REM	CVCL_E549	Homo sapiens
(BF1) 8A3.31	CVCL_G217	Mus musculus
+/+ (A)	CVCL_6479	Mus musculus
+/+ (B)	CVCL_6480	Mus musculus
+/+ (C)	CVCL_S361	Mus musculus
+/+ Li	CVCL_4977	Mus musculus
+/+ MGT	CVCL_3627	Mus musculus
+/+ SCT	CVCL_3628	Mus musculus
.114	CVCL_D326	Homo sapiens
.127	CVCL_D329	Homo sapiens
.144	CVCL_D328	Homo sapiens
.180	CVCL_6261	Homo sapiens
.184	CVCL_D327	Homo sapiens
.22	CVCL_6262	Homo sapiens
.220	CVCL_D325	Homo sapiens
.221	CVCL_6263	Homo sapiens
.45	CVCL_E420	Homo sapiens
00136	CVCL_E557	Homo sapiens
0044 Rag 1-15	CVCL_1S92	Homo sapiens x Mus musculus hybrid cell line
006	CVCL_5985	Homo sapiens
011	CVCL_5986	Homo sapiens
012	CVCL_5987	Homo sapiens
019	CVCL_5989	Homo sapiens
022	CVCL_5991	Homo sapiens
022HU-NSO	CVCL_6494	Mus musculus
02627	CVCL_E439	Homo sapiens
029	CVCL_5993	Homo sapiens
041M	CVCL_4993	Homo sapiens
051407cb	CVCL_V362	Homo sapiens
054 A	CVCL_8180	Homo sapiens
066	CVCL_Y448	Mesocricetus auratus
07-4D	CVCL_J077	Mus musculus
07-S-0025#0100	CVCL_6G61	Homo sapiens
090727 LQT3/BrS g1	CVCL_T913	Homo sapiens
090727 LQT3/BrS g2	CVCL_T914	Homo sapiens
0V-1063	CVCL_4366	Homo sapiens
1-1ras1000	CVCL_8653	Mus musculus
1-1src	CVCL_8654	Mus musculus
1-29-7	CVCL_Y308	Mus musculus
1-45	CVCL_M200	Homo sapiens
1-53	CVCL_H658	Homo sapiens
1-5c-4	CVCL_2260	Homo sapiens
1-7 HB2	CVCL_2261	Homo sapiens
1-7HB2	CVCL_2261	Homo sapiens
1-8	CVCL_T367	Chlorocebus aethiops
1-87	CVCL_D231	Homo sapiens
1-A2	CVCL_9V12	Homo sapiens x Mus musculus hybrid cell line
1-LN	CVCL_L211	Homo sapiens
1-LN-PC-3-1A	CVCL_L211	Homo sapiens
1.1B4	CVCL_1778	Homo sapiens
1.1E7	CVCL_2257	Homo sapiens
1.2B4	CVCL_2258	Homo sapiens
1.2C7	CVCL_AP65	Mus musculus
1.4E7	CVCL_2259	Homo sapiens
1.5A9	CVCL_AP64	Mus musculus
1/22 AM-27	CVCL_1S21	Cricetulus griseus
1/22 AM-6	CVCL_1S22	Cricetulus griseus
1/22AM-27	CVCL_1S21	Cricetulus griseus
1/22AM-6	CVCL_1S22	Cricetulus griseus
1/24-24E05	CVCL_E966	Mus musculus
1/24E05	CVCL_E966	Mus musculus
10(AAT) Clone A	CVCL_U069	Mus musculus
10-1.D.2	CVCL_B376	Mus musculus
10-2.16	CVCL_B377	Mus musculus
10-3.6.2	CVCL_B378	Mus musculus
10-4-22	CVCL_L530	Mus musculus
10.014	CVCL_6341	Homo sapiens
10.014 pRSV-T	CVCL_6341	Homo sapiens
10.6.1	CVCL_J602	Homo sapiens
10.84	CVCL_J168	Mus musculus
10.84.2	CVCL_J168	Mus musculus
10/9CRC1	CVCL_8478	Mus musculus
100 3Cr-1	CVCL_C933	Homo sapiens
100 3Cr-6	CVCL_C934	Homo sapiens
100-1 #16	CVCL_T867	Homo sapiens
100-1 #8	CVCL_T866	Homo sapiens
100-1#16	CVCL_T867	Homo sapiens
100-1#8	CVCL_T866	Homo sapiens
100-2 #1	CVCL_T868	Homo sapiens
100-2#1	CVCL_T868	Homo sapiens
100-310	CVCL_N280	Mus musculus
100.6	CVCL_9W10	Equus caballus
100213 LQT2 theta10	CVCL_T915	Homo sapiens
100213 LQT2 theta4	CVCL_T916	Homo sapiens
10063349	CVCL_6G62	Homo sapiens
1011	CVCL_7942	Homo sapiens
1011 mel	CVCL_7942	Homo sapiens
1011-MEL	CVCL_7942	Homo sapiens
1011mel	CVCL_7942	Homo sapiens
1013-L	CVCL_4806	Homo sapiens
1013L	CVCL_4806	Homo sapiens
1016T	CVCL_6G35	Homo sapiens
101A	CVCL_J815	Mus musculus
102 37Cr-1	CVCL_C935	Homo sapiens
102 37Cr-3	CVCL_C936	Homo sapiens
1027-B2	CVCL_U434	Rattus norvegicus
102PT	CVCL_3421	Homo sapiens
103 43Cr-1	CVCL_C937	Homo sapiens
103 43Cr-3	CVCL_C938	Homo sapiens
103-LCL	CVCL_6751	Homo sapiens
104-15	CVCL_N203	Homo sapiens
104-16	CVCL_N204	Homo sapiens
104-R	CVCL_M127	Homo sapiens
104-R1	CVCL_M127	Homo sapiens
104-R2	CVCL_M128	Homo sapiens
104-S	CVCL_M126	Homo sapiens
1046-38	CVCL_U435	Rattus norvegicus
104C1	CVCL_2267	Cavia porcellus
105 KC	CVCL_M605	Homo sapiens
105 MG	CVCL_5903	Homo sapiens
1056-A	CVCL_U436	Rattus norvegicus
1056A	CVCL_U436	Rattus norvegicus
105AJ	CVCL_M609	Homo sapiens
105AJ1.1	CVCL_M610	Homo sapiens
105AJ3.1	CVCL_M611	Homo sapiens
105AJ5.1	CVCL_M612	Homo sapiens
105KC	CVCL_M605	Homo sapiens
105MG	CVCL_5903	Homo sapiens
1064SK	CVCL_2328	Homo sapiens
1066	CVCL_E424	Homo sapiens
1072F	CVCL_6G38	Homo sapiens
1088	CVCL_8029	Homo sapiens
1088 Mel	CVCL_8029	Homo sapiens
1088-MEL	CVCL_8029	Homo sapiens
108CC15	CVCL_0464	Mouse/rat hybrid cell lines
108CC5	CVCL_4076	Mouse/rat hybrid cell lines
108CC5-BU	CVCL_4077	Mouse/rat hybrid cell lines
108CC5-BU-5	CVCL_4078	Mouse/rat hybrid cell lines
108CC5-BU-8	CVCL_4079	Mouse/rat hybrid cell lines
108CC5-TG-1	CVCL_4082	Mouse/rat hybrid cell lines
108CC5-TG-2	CVCL_4083	Mouse/rat hybrid cell lines
108CC5-TG-3	CVCL_4084	Mouse/rat hybrid cell lines
108CC5-TG-4	CVCL_4085	Mouse/rat hybrid cell lines
108CC5T-BU-1	CVCL_4080	Mouse/rat hybrid cell lines
108CC5T-BU-4	CVCL_4081	Mouse/rat hybrid cell lines
10A1.34	CVCL_4U65	Mus musculus
10A3.cl 1	CVCL_F786	Mus musculus
10B10	CVCL_6819	Homo sapiens
10B2	CVCL_S165	Cricetulus griseus
10B9	CVCL_B379	Mus musculus
10C4.1.3	CVCL_H997	Mus musculus
10C7	CVCL_D146	Mus musculus
10C9	CVCL_R704	Homo sapiens
10D2F6	CVCL_G563	Mus musculus
10D4.90	CVCL_G642	Mus musculus
10D6	CVCL_U641	Mus musculus
10E2	CVCL_Y303	Mus musculus
10E3B7	CVCL_U848	Mus musculus
10E5	CVCL_G016	Mus musculus
10F7MN	CVCL_G564	Mus musculus
10G4	CVCL_U285	Mus musculus
10H	CVCL_N538	Mus musculus
10H-2	CVCL_N539	Mus musculus
10H2.12.1	CVCL_H998	Mus musculus
10P12	CVCL_6481	Mus musculus
10P2	CVCL_6482	Mus musculus
10P8	CVCL_0E96	Mus musculus
10r6	CVCL_5G19	Mus musculus
10r9	CVCL_5G20	Mus musculus
10ScNCr/23	CVCL_3634	Mus musculus
10T1/2	CVCL_0190	Mus musculus
11	CVCL_0064	Homo sapiens
11	CVCL_0093	Homo sapiens
11	CVCL_5986	Homo sapiens
11 B 11	CVCL_9139	Mouse/rat hybrid cell lines
11-18	CVCL_A596	Homo sapiens
11-18-ER1-7	CVCL_D856	Homo sapiens
11-18-ER2-1	CVCL_D857	Homo sapiens
11-18-GEF10-1	CVCL_D776	Homo sapiens
11-18-GEF20-1	CVCL_D777	Homo sapiens
11-18/ER	CVCL_S745	Homo sapiens
11-18/ER1-7	CVCL_D856	Homo sapiens
11-18/ER2-1	CVCL_D857	Homo sapiens
11-18/GEF10-1	CVCL_D776	Homo sapiens
11-18/GEF20-1	CVCL_D777	Homo sapiens
11-18/R	CVCL_S745	Homo sapiens
11-18R	CVCL_S745	Homo sapiens
11-26c	CVCL_9138	Mouse/rat hybrid cell lines
11-4	CVCL_2819	Homo sapiens
11-4.1	CVCL_G219	Mus musculus
11-5.2.1.9	CVCL_G189	Mus musculus
11-5F	CVCL_J078	Mus musculus
11-6.3.1	CVCL_L531	Mus musculus
11-9-1-4	CVCL_5948	Homo sapiens
11.9	CVCL_N790	Mus musculus
11.9.14	CVCL_5948	Homo sapiens
110-5	CVCL_J035	Mus musculus
1102	CVCL_8030	Homo sapiens
1102	CVCL_C574	Cricetulus griseus
1102 mel	CVCL_8030	Homo sapiens
1102-MEL	CVCL_8030	Homo sapiens
11028	CVCL_L307	Canis lupus familiaris
1102mel	CVCL_8030	Homo sapiens
11031	CVCL_L308	Canis lupus familiaris
1104-X-5	CVCL_T679	Gallus gallus
1104-X5	CVCL_T679	Gallus gallus
1104B	CVCL_T678	Gallus gallus
1104B-1	CVCL_T678	Gallus gallus
1104B1	CVCL_T678	Gallus gallus
1107F-HA	CVCL_G344	Mus musculus
111 BLCL	CVCL_E341	Homo sapiens
11156-Q-E	CVCL_2262	Homo sapiens
1116-NS-19-9	CVCL_G218	Mus musculus
1116NS-19-9	CVCL_G218	Mus musculus
1116NS-3d	CVCL_7233	Mus musculus
111A3	CVCL_J079	Mus musculus
1123	CVCL_S406	Homo sapiens
1123-MEL	CVCL_S406	Homo sapiens
1125	CVCL_E425	Homo sapiens
1127	CVCL_E426	Homo sapiens
113F1	CVCL_J910	Mus musculus
114-50D4	CVCL_J548	Mus musculus
114-50G2	CVCL_J549	Mus musculus
1143	CVCL_8031	Homo sapiens
1143 mel	CVCL_8031	Homo sapiens
1143-MEL	CVCL_8031	Homo sapiens
1156Q	CVCL_2262	Homo sapiens
1156QE	CVCL_2262	Homo sapiens
1156QE/8	CVCL_2262	Homo sapiens
116	CVCL_G220	Mus musculus
116-13.1	CVCL_G221	Mus musculus
116br	CVCL_S720	Mus musculus
117-13	CVCL_T730	Mus musculus
117.1	CVCL_0H96	Mus musculus
118 MG	CVCL_0633	Homo sapiens
118 MG-EH	CVCL_T447	Homo sapiens
1180	CVCL_E427	Homo sapiens
1181	CVCL_E428	Homo sapiens
1181N1	CVCL_D317	Homo sapiens
1182	CVCL_8032	Homo sapiens
1182 mel	CVCL_8032	Homo sapiens
1182-1	CVCL_Z895	Drosophila melanogaster
1182-4	CVCL_Z708	Drosophila melanogaster
1182-4D	CVCL_Z708	Drosophila melanogaster
1182-4H	CVCL_Z708	Drosophila melanogaster
1182-5	CVCL_Z896	Drosophila melanogaster
1182-6	CVCL_Z897	Drosophila melanogaster
1182-7b	CVCL_Z898	Drosophila melanogaster
1182-MEL	CVCL_8032	Homo sapiens
1183	CVCL_E429	Homo sapiens
1184	CVCL_2263	Homo sapiens
118MG	CVCL_0633	Homo sapiens
118MG-1181N1	CVCL_D317	Homo sapiens
1195	CVCL_8033	Homo sapiens
1195 mel	CVCL_8033	Homo sapiens
1195-MEL	CVCL_8033	Homo sapiens
1199	CVCL_8034	Homo sapiens
1199 mel	CVCL_8034	Homo sapiens
1199-MEL	CVCL_8034	Homo sapiens
11a	CVCL_8987	Homo sapiens
11ad	CVCL_A634	Homo sapiens
11b	CVCL_8988	Homo sapiens
11B	CVCL_S151	Oncorhynchus mykiss
11B11	CVCL_9139	Mouse/rat hybrid cell lines
11B7501	CVCL_0E75	Phoca vitulina
11c	CVCL_8989	Homo sapiens
11D10B6	CVCL_U852	Mus musculus
11D10F7	CVCL_U853	Mus musculus
11D9G5	CVCL_U851	Mus musculus
11E10	CVCL_E958	Mus musculus
11E6	CVCL_U648	Mus musculus
11F11	CVCL_E959	Mus musculus
11G8.cl 2-1.8	CVCL_F782	Mus musculus
11H4.4	CVCL_N022	Mus musculus
11P0-1	CVCL_6551	Mus musculus
11Z	CVCL_0Q72	Homo sapiens
12-1B6	CVCL_J713	Mus musculus
12-2-2S (clone 5F11)	CVCL_G565	Mus musculus
12-A-3	CVCL_6760	Mus musculus
12-Z	CVCL_0Q73	Homo sapiens
12.1	CVCL_G222	Mus musculus
12.12	CVCL_J992	Mus musculus
12/44	CVCL_G753	Mus musculus
12/49	CVCL_G762	Mus musculus
1205 Lu	CVCL_5239	Homo sapiens
1205-Lu	CVCL_5239	Homo sapiens
1205Lu	CVCL_5239	Homo sapiens
120E	CVCL_U057	Mus musculus
120MG	CVCL_T446	Homo sapiens
121-15B10	CVCL_J550	Mus musculus
121-19B10	CVCL_E960	Mus musculus
121-1F9	CVCL_J551	Mus musculus
121-3H5	CVCL_J552	Mus musculus
121-4F8	CVCL_J553	Mus musculus
121-5E5	CVCL_J554	Mus musculus
121-8D8	CVCL_J555	Mus musculus
