'Cold-shock' DNA-binding domain	PF00313
'Paired box' domain	PF00292
(2R)-phospho-3-sulfolactate synthase (ComA)	PF02679
1,3-beta-glucan synthase component	PF02364
1,3-beta-glucan synthase subunit FKS1, domain-1	PF14288
1-cysPrx_C	PF10417
1-deoxy-D-xylulose 5-phosphate reductoisomerase	PF02670
1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal	PF08436
1-deoxy-D-xylulose-5-phosphate synthase	PF13292
10 TM Acyl Transferase domain found in Cas1p	PF07779
116 kDa U5 small nuclear ribonucleoprotein component N-terminus	PF16004
120 KDa Rickettsia surface antigen	PF12574
120_Rick_ant	PF12574
12TM_1	PF09847
14-3-3	PF00244
14-3-3 protein	PF00244
15-O-acetyltransferase Tri3	PF07428
16S rRNA methyltransferase RsmB/F	PF01189
17 kDa common-antigen outer membrane protein	PF16587
17 kDa outer membrane surface antigen	PF16998
17kDa_Anti_2	PF16998
2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)	PF05881
2'-5' RNA ligase superfamily	PF13563
2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus	PF10421
2'-deoxycytidine 5'-triphosphate deaminase (DCD)	PF06559
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	PF10143
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128
2-Hacid_dh	PF00389
2-Hacid_dh_C	PF02826
2-cysteine adaptor domain	PF08793
2-hydroxycarboxylate transporter family	PF03390
2-hydroxyglutaryl-CoA dehydratase, D-component	PF06050
2-keto-3-deoxy-galactonokinase	PF05035
2-keto-3-deoxygluconate permease	PF03812
2-oxoacid dehydrogenases acyltransferase (catalytic domain)	PF00198
2-oxoacid_dh	PF00198
2-oxogl_dehyd_N	PF16078
2-oxoglutarate dehydrogenase C-terminal	PF16870
2-oxoglutarate dehydrogenase N-terminus	PF16078
2-oxoisovalerate dehydrogenase E1 alpha subunit N terminal	PF12573
2-ph_phosp	PF04029
2-phosphosulpholactate phosphatase	PF04029
2-vinyl bacteriochlorophyllide hydratase (BCHF)	PF07284
20S proteasome chaperone assembly proteins 3 and 4	PF10448
23ISL	PF16620
23S rRNA methylase leader peptide (ErmC)	PF06308
23S rRNA-intervening sequence protein	PF05635
23S_rRNA_IVP	PF05635
26S proteasome subunit RPN7	PF10602
28 kDa A-kinase anchor	PF14469
2C endopeptidase (C24) cysteine protease family	PF03510
2CSK_N	PF08521
2C_adapt	PF08793
2Fe-2S iron-sulfur cluster binding domain	PF00111
2Fe-2S iron-sulfur cluster binding domain	PF13085
2Fe-2S iron-sulfur cluster binding domain	PF13510
2Fe-2S_Ferredox	PF11591
2Fe-2S_thioredx	PF01257
2H-phosphodiest	PF08975
2HCT	PF03390
2OG-Fe dioxygenase	PF10014
2OG-Fe(II) oxygenase superfamily	PF03171
2OG-Fe(II) oxygenase superfamily	PF13532
2OG-Fe(II) oxygenase superfamily	PF13640
2OG-Fe(II) oxygenase superfamily	PF13661
2OG-FeII_Oxy	PF03171
2OG-FeII_Oxy_2	PF13532
2OG-FeII_Oxy_3	PF13640
2OG-FeII_Oxy_4	PF13661
2OG-FeII_Oxy_5	PF13759
2OG-Fe_Oxy_2	PF10014
2TM	PF13239
2TM domain	PF13239
2_5_RNA_ligase2	PF13563
3' exoribonuclease family, domain 1	PF01138
3' exoribonuclease family, domain 2	PF03725
3' exoribonuclease, RNase T-like	PF16473
3'-5' exonuclease	PF01612
3'5'-cyclic nucleotide phosphodiesterase	PF00233
3'5'-cyclic nucleotide phosphodiesterase N-terminal	PF08499
3,4-dihydroxy-2-butanone 4-phosphate synthase	PF00926
3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)	PF04413
3-HAO	PF06052
3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	PF08545
3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	PF08541
3-PAP	PF12578
3-alpha	PF03475
3-alpha domain	PF03475
3-beta hydroxysteroid dehydrogenase/isomerase family	PF01073
3-dehydroquinate synthase	PF01761
3-dehydroquinate synthase (EC 4.6.1.3)	PF01959
3-demethylubiquinone-9 3-methyltransferase	PF06983
3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase	PF11004
3-dmu-9_3-mt	PF06983
3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	PF00725
3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	PF02737
3-hydroxyanthranilic acid dioxygenase	PF06052
3-octaprenyl-4-hydroxybenzoate carboxy-lyase	PF01977
3-oxo-5-alpha-steroid 4-dehydrogenase	PF02544
30S ribosomal protein Thx	PF17070
30S ribosomal protein subunit S22 family	PF08136
35kD major secreted virus protein	PF02250
36-mer N-terminal peptide of the N protein (N36)	PF11438
37-kD nucleoid-associated bacterial protein	PF04245
39S mitochondrial ribosomal protein L46	PF11788
39S ribosomal protein L53/MRP-L53	PF10780
3A	PF00803
3A/RNA2 movement protein family	PF00803
3Beta_HSD	PF01073
3C cysteine protease (picornain 3C)	PF00548
3D	PF06725
3D domain	PF06725
3H	PF02829
3H domain	PF02829
3HB-oligomer hydrolase (3HBOH)	PF10605
3HBOH	PF10605
3HCDH	PF00725
3HCDH_N	PF02737
4'-phosphopantetheinyl transferase superfamily	PF01648
4-alpha-L-fucosyltransferase glycosyl transferase group 56	PF07429
4-alpha-glucanotransferase	PF02446
4-hydroxyphenylacetate 3-hydroxylase C terminal	PF03241
4-hydroxyphenylacetate 3-hydroxylase N terminal	PF11794
4.1 protein C-terminal domain (CTD)	PF05902
40S ribosomal protein S4 C-terminus	PF16121
40S ribosomal protein SA C-terminus	PF16122
40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal	PF04950
40S_S4_C	PF16121
40S_SA_C	PF16122
4F5	PF04419
4F5 protein family	PF04419
4Fe-4S binding domain	PF00037
4Fe-4S binding domain	PF12797
4Fe-4S binding domain	PF12798
4Fe-4S binding domain	PF12800
4Fe-4S binding domain	PF12801
4Fe-4S binding domain	PF12837
4Fe-4S dicluster domain	PF12838
4Fe-4S dicluster domain	PF13183
4Fe-4S dicluster domain	PF13187
4Fe-4S dicluster domain	PF13237
4Fe-4S dicluster domain	PF13247
4Fe-4S dicluster domain	PF13534
4Fe-4S dicluster domain	PF13746
4Fe-4S dicluster domain	PF14697
4Fe-4S dicluster domain	PF17179
4Fe-4S double cluster binding domain	PF13484
4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	PF00142
4Fe-4S single cluster domain	PF13353
4Fe-4S single cluster domain	PF13394
4Fe-4S single cluster domain	PF13459
4Fe-4S single cluster domain of Ferredoxin I	PF13370
4HBT	PF03061
4HBT_2	PF13279
4HBT_3	PF13622
4HB_MCP_1	PF12729
4TM region of DNA translocase FtsK/SpoIIIE	PF13491
4TM region of pyridine nucleotide transhydrogenase, mitoch	PF12769
4_1_CTD	PF05902
5' nucleotidase family	PF05761
5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	PF06941
