Erk	IPR008349	Human
Erk	IPR008349	Mouse
Erk	IPR008349	FruitFly
Erk	IPR008349	Caenorhabditis elegans
EGF receptor	IPR016245	Human
RasGAP	IPR028555	Human
RasGEF	IPR028555	Human
EGF receptor	IPR016245	Mouse
RasGAP	IPR028555	Mouse
RasGEF	IPR028555	Mouse
(Uracil-5)-methyltransferase	IPR010280	Caenorhabditis elegans
(Uracil-5)-methyltransferase	IPR010280	FruitFly
(Uracil-5)-methyltransferase	IPR010280	Human
(Uracil-5)-methyltransferase	IPR010280	Mouse
(Uracil-5)-methyltransferase	IPR010280	Saccharomyces cerevisiae
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	IPR027496	Caenorhabditis elegans
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	IPR027496	FruitFly
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	IPR027496	Human
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	IPR027496	Mouse
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes	IPR027496	Saccharomyces cerevisiae
1,4-alpha-glucan-branching enzyme, GlgB	IPR006407	Caenorhabditis elegans
1,4-alpha-glucan-branching enzyme, GlgB	IPR006407	FruitFly
1,4-alpha-glucan-branching enzyme, GlgB	IPR006407	Human
1,4-alpha-glucan-branching enzyme, GlgB	IPR006407	Mouse
1,4-alpha-glucan-branching enzyme, GlgB	IPR006407	Saccharomyces cerevisiae
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	IPR028400	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	IPR028400	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	IPR028403	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	IPR028403	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	IPR028390	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	IPR028390	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	IPR028391	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	IPR028391	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	IPR028406	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	IPR028406	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	IPR028387	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	IPR028387	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	IPR028398	Caenorhabditis elegans
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	IPR028398	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1	IPR028398	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	IPR028392	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	IPR028392	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	IPR028393	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	IPR028393	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	IPR028380	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	IPR028380	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	IPR028381	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	IPR028381	Mouse
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1	IPR028395	Human
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1	IPR028395	Mouse
10-FTHFDH	IPR011407	Caenorhabditis elegans
10-FTHFDH	IPR011407	FruitFly
10-FTHFDH	IPR011407	Human
10-FTHFDH	IPR011407	Mouse
10-formyltetrahydrofolate dehydrogenase	IPR011407	Caenorhabditis elegans
10-formyltetrahydrofolate dehydrogenase	IPR011407	FruitFly
10-formyltetrahydrofolate dehydrogenase	IPR011407	Human
10-formyltetrahydrofolate dehydrogenase	IPR011407	Mouse
11-beta-HSD1	IPR002198	Caenorhabditis elegans
11-beta-HSD1	IPR002198	FruitFly
11-beta-HSD1	IPR002198	Human
11-beta-HSD1	IPR002198	Mouse
11-beta-HSD1	IPR002198	Saccharomyces cerevisiae
14-3-3	IPR000308	Caenorhabditis elegans
14-3-3	IPR000308	FruitFly
14-3-3	IPR000308	Human
14-3-3	IPR000308	Mouse
14-3-3	IPR000308	Saccharomyces cerevisiae
14-3-3 protein	IPR000308	Caenorhabditis elegans
14-3-3 protein	IPR000308	FruitFly
14-3-3 protein	IPR000308	Human
14-3-3 protein	IPR000308	Mouse
14-3-3 protein	IPR000308	Saccharomyces cerevisiae
1433ZETA	IPR000308	Caenorhabditis elegans
1433ZETA	IPR000308	FruitFly
1433ZETA	IPR000308	Human
1433ZETA	IPR000308	Mouse
1433ZETA	IPR000308	Saccharomyces cerevisiae
14kDa phosphohistidine phosphatase	IPR028441	Human
14kDa phosphohistidine phosphatase	IPR028441	Mouse
16SrRNA_methyltr_A	IPR011530	Caenorhabditis elegans
16SrRNA_methyltr_A	IPR011530	FruitFly
16SrRNA_methyltr_A	IPR011530	Human
16SrRNA_methyltr_A	IPR011530	Mouse
16SrRNA_methyltr_A	IPR011530	Saccharomyces cerevisiae
16SrRNA_methyltr_H	IPR002903	FruitFly
16SrRNA_methyltr_H	IPR002903	Human
16SrRNA_methyltr_H	IPR002903	Mouse
17beta-HSD	IPR011348	Human
17beta-HSD	IPR011348	Mouse
17beta-dehydrogenase	IPR011348	Human
17beta-dehydrogenase	IPR011348	Mouse
18S_RNA_Rcl1p	IPR016443	Caenorhabditis elegans
18S_RNA_Rcl1p	IPR016443	FruitFly
18S_RNA_Rcl1p	IPR016443	Human
18S_RNA_Rcl1p	IPR016443	Mouse
18S_RNA_Rcl1p	IPR016443	Saccharomyces cerevisiae
2',3'-cyclic-nucleotide 3'-phosphodiesterase	IPR012386	Saccharomyces cerevisiae
2'-5'-oligoadenylate synthase	IPR026774	Human
2'-5'-oligoadenylate synthase	IPR026774	Mouse
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	IPR003560	Human
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	IPR001228	Human
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	IPR001228	Mouse
2-amino-3-ketobutyrate coenzyme A ligase	IPR011282	Caenorhabditis elegans
2-amino-3-ketobutyrate coenzyme A ligase	IPR011282	FruitFly
2-amino-3-ketobutyrate coenzyme A ligase	IPR011282	Human
2-amino-3-ketobutyrate coenzyme A ligase	IPR011282	Mouse
2-deoxynucleoside 5-phosphate N-hydrolase 1, DNPH1	IPR028607	Human
2-deoxynucleoside 5-phosphate N-hydrolase 1, DNPH1	IPR028607	Mouse
2-isopropylmalate synthase	IPR005668	Saccharomyces cerevisiae
2-methylcitrate dehydratase PrpD	IPR012705	Saccharomyces cerevisiae
2-oxoglutarate dehydrogenase E1 component	IPR011603	Caenorhabditis elegans
2-oxoglutarate dehydrogenase E1 component	IPR011603	FruitFly
2-oxoglutarate dehydrogenase E1 component	IPR011603	Human
2-oxoglutarate dehydrogenase E1 component	IPR011603	Mouse
2-oxoglutarate dehydrogenase E1 component	IPR011603	Saccharomyces cerevisiae
2-phosphoglycolate phosphatase, eukaryotic	IPR006349	Caenorhabditis elegans
2-phosphoglycolate phosphatase, eukaryotic	IPR006349	FruitFly
2-phosphoglycolate phosphatase, eukaryotic	IPR006349	Human
2-phosphoglycolate phosphatase, eukaryotic	IPR006349	Mouse
2-phosphoglycolate phosphatase, eukaryotic	IPR006349	Saccharomyces cerevisiae
2-thiocytidine tRNA biosynthesis protein, TtcA	IPR012089	Caenorhabditis elegans
2-thiocytidine tRNA biosynthesis protein, TtcA	IPR012089	FruitFly
2-thiocytidine tRNA biosynthesis protein, TtcA	IPR012089	Human
2-thiocytidine tRNA biosynthesis protein, TtcA	IPR012089	Saccharomyces cerevisiae
23S_rRNA_mtase	IPR015507	Caenorhabditis elegans
23S_rRNA_mtase	IPR015507	FruitFly
23S_rRNA_mtase	IPR015507	Human
23S_rRNA_mtase	IPR015507	Mouse
23S_rRNA_mtase	IPR015507	Saccharomyces cerevisiae
25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	IPR021867	FruitFly
25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	IPR021867	Human
25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	IPR021867	Mouse
25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	IPR021867	Saccharomyces cerevisiae
26S proteasome complex ubiquitin receptor, subunit Rpn13	IPR006773	Caenorhabditis elegans
26S proteasome complex ubiquitin receptor, subunit Rpn13	IPR006773	FruitFly
26S proteasome complex ubiquitin receptor, subunit Rpn13	IPR006773	Human
26S proteasome complex ubiquitin receptor, subunit Rpn13	IPR006773	Mouse
26S proteasome complex ubiquitin receptor, subunit Rpn13	IPR006773	Saccharomyces cerevisiae
26S proteasome non-ATPase regulatory subunit 5	IPR019538	Caenorhabditis elegans
26S proteasome non-ATPase regulatory subunit 5	IPR019538	FruitFly
26S proteasome non-ATPase regulatory subunit 5	IPR019538	Human
26S proteasome non-ATPase regulatory subunit 5	IPR019538	Mouse
26S proteasome non-ATPase regulatory subunit Rpn12	IPR006746	Caenorhabditis elegans
26S proteasome non-ATPase regulatory subunit Rpn12	IPR006746	FruitFly
26S proteasome non-ATPase regulatory subunit Rpn12	IPR006746	Human
26S proteasome non-ATPase regulatory subunit Rpn12	IPR006746	Mouse
26S proteasome non-ATPase regulatory subunit Rpn12	IPR006746	Saccharomyces cerevisiae
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	IPR016643	Caenorhabditis elegans
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	IPR016643	FruitFly
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	IPR016643	Human
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	IPR016643	Mouse
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	IPR016643	Saccharomyces cerevisiae
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	IPR016642	Caenorhabditis elegans
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	IPR016642	FruitFly
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	IPR016642	Human
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	IPR016642	Mouse
26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	IPR016642	Saccharomyces cerevisiae
26S proteasome subunit P45	IPR005937	Caenorhabditis elegans
26S proteasome subunit P45	IPR005937	FruitFly
26S proteasome subunit P45	IPR005937	Human
26S proteasome subunit P45	IPR005937	Mouse
26S proteasome subunit P45	IPR005937	Saccharomyces cerevisiae
26S proteasome, regulatory subunit Rpn7	IPR019585	Caenorhabditis elegans
26S proteasome, regulatory subunit Rpn7	IPR019585	FruitFly
26S proteasome, regulatory subunit Rpn7	IPR019585	Human
26S proteasome, regulatory subunit Rpn7	IPR019585	Mouse
26S proteasome, regulatory subunit Rpn7	IPR019585	Saccharomyces cerevisiae
26S_Psome_Rpn1	IPR016643	Caenorhabditis elegans
26S_Psome_Rpn1	IPR016643	FruitFly
26S_Psome_Rpn1	IPR016643	Human
26S_Psome_Rpn1	IPR016643	Mouse
26S_Psome_Rpn1	IPR016643	Saccharomyces cerevisiae
26S_Psome_Rpn2	IPR016642	Caenorhabditis elegans
26S_Psome_Rpn2	IPR016642	FruitFly
26S_Psome_Rpn2	IPR016642	Human
26S_Psome_Rpn2	IPR016642	Mouse
26S_Psome_Rpn2	IPR016642	Saccharomyces cerevisiae
26Sp45	IPR005937	Caenorhabditis elegans
26Sp45	IPR005937	FruitFly
26Sp45	IPR005937	Human
26Sp45	IPR005937	Mouse
26Sp45	IPR005937	Saccharomyces cerevisiae
28S ribosomal protein S24	IPR026146	Caenorhabditis elegans
28S ribosomal protein S24	IPR026146	FruitFly
28S ribosomal protein S24	IPR026146	Human
28S ribosomal protein S24	IPR026146	Mouse
28S ribosomal protein S26	IPR026140	Caenorhabditis elegans
28S ribosomal protein S26	IPR026140	FruitFly
28S ribosomal protein S26	IPR026140	Human
28S ribosomal protein S26	IPR026140	Mouse
2A0104	IPR000849	Caenorhabditis elegans
2A0104	IPR000849	FruitFly
2A0104	IPR000849	Human
2A0104	IPR000849	Mouse
2A0109	IPR004738	Saccharomyces cerevisiae
2A0111	IPR004741	Caenorhabditis elegans
2A0112	IPR004742	Saccharomyces cerevisiae
2A0113	IPR004743	Human
2A0113	IPR004743	Mouse
2A0114	IPR004744	Saccharomyces cerevisiae
2A0114euk	IPR004745	FruitFly
2A0114euk	IPR004745	Human
2A0114euk	IPR004745	Mouse
2A0119	IPR004749	Caenorhabditis elegans
2A0119	IPR004749	Human
2A0119	IPR004749	Mouse
2A0125	IPR004752	Human
2A0125	IPR004752	Mouse
2A0303	IPR004755	Caenorhabditis elegans
2A0303	IPR004755	Human
2A0303	IPR004755	Mouse
2A0304	IPR004756	Saccharomyces cerevisiae
2A0308	IPR004760	Human
2A0308	IPR004760	Mouse
2A0310	IPR004762	Saccharomyces cerevisiae
2A060601	IPR004765	FruitFly
2A060601	IPR004765	Human
2A060601	IPR004765	Mouse
2A060602	IPR004766	FruitFly
2A060602	IPR004766	Human
2A060602	IPR004766	Mouse
2A060605	IPR004816	FruitFly
2A060605	IPR004816	Human
2A060605	IPR004816	Mouse
2A1704	IPR004768	Caenorhabditis elegans
2A1704	IPR004768	FruitFly
2A1704	IPR004768	Human
2A1704	IPR004768	Mouse
2A1904	IPR004817	Human
2A1904	IPR004817	Mouse
2A43	IPR005282	Caenorhabditis elegans
2A43	IPR005282	FruitFly
2A43	IPR005282	Human
2A43	IPR005282	Mouse
2A43	IPR005282	Saccharomyces cerevisiae
2POREKCHANEL	IPR003280	Caenorhabditis elegans
2POREKCHANEL	IPR003280	FruitFly
2POREKCHANEL	IPR003280	Human
2POREKCHANEL	IPR003280	Mouse
2POREKCHANEL	IPR003280	Saccharomyces cerevisiae
2S globulin	IPR000677	Human
2SGLOBULIN	IPR000677	Human
2_A_01_02	IPR004734	Caenorhabditis elegans
2_A_01_02	IPR004734	FruitFly
2_A_01_02	IPR004734	Human
2_A_01_02	IPR004734	Mouse
2_A_01_02	IPR004734	Saccharomyces cerevisiae
2a30	IPR004842	Caenorhabditis elegans
2a30	IPR004842	FruitFly
2a30	IPR004842	Human
2a30	IPR004842	Mouse
2a38euk	IPR004773	Saccharomyces cerevisiae
2a57	IPR002259	Caenorhabditis elegans
2a57	IPR002259	FruitFly
2a57	IPR002259	Human
2a57	IPR002259	Mouse
2a57	IPR002259	Saccharomyces cerevisiae
2a58	IPR003841	Caenorhabditis elegans
2a58	IPR003841	Human
2a58	IPR003841	Mouse
2am3keto_CoA	IPR011282	Caenorhabditis elegans
2am3keto_CoA	IPR011282	FruitFly
2am3keto_CoA	IPR011282	Human
2am3keto_CoA	IPR011282	Mouse
2am3keto_CoA_ligase	IPR011282	Caenorhabditis elegans
2am3keto_CoA_ligase	IPR011282	FruitFly
2am3keto_CoA_ligase	IPR011282	Human
2am3keto_CoA_ligase	IPR011282	Mouse
2oxo_dh_E1	IPR011603	Caenorhabditis elegans
2oxo_dh_E1	IPR011603	FruitFly
2oxo_dh_E1	IPR011603	Human
2oxo_dh_E1	IPR011603	Mouse
2oxo_dh_E1	IPR011603	Saccharomyces cerevisiae
3'-RNA ribose 2'-O-methyltransferase, Hen1	IPR026610	Caenorhabditis elegans
3'-RNA ribose 2'-O-methyltransferase, Hen1	IPR026610	FruitFly
3'-RNA ribose 2'-O-methyltransferase, Hen1	IPR026610	Human
3'-RNA ribose 2'-O-methyltransferase, Hen1	IPR026610	Mouse
3'5'-cyclic nucleotide phosphodiesterase	IPR023088	Caenorhabditis elegans
3'5'-cyclic nucleotide phosphodiesterase	IPR023088	FruitFly
3'5'-cyclic nucleotide phosphodiesterase	IPR023088	Human
