A. aegypti	7159
A. baumannii	470
A. biovar 1	358
A. catesbeiana	8400
A. donax	35708
A. epidermidis	1282
A. gambiae	7165
A. genomosp. 2	470
A. genomospecies 2	470
A. graveolens	40922
A. influenza virus	11309
A. laidlawii	2148
A. lapathifolia	3704
A. lunatus	339
A. melanoleuca	9646
A. miscellum	354
A. nidulans	162425
A. nidulellus	162425
A. niger	5061
A. niger Tiegh.	5061
A. radiobacter	358
A. rusticana	3704
A. siderocapsulatus	303
A. thaliana	3702
A. thermophilum	31899
A. thiooxidans	930
A. tricoccum	138334
A. tricoccum Aiton	138334
A. trivirgatus	9505
A. tumefaciens	358
A. vinelandii	354
A.aegypti	7159
A.baumannii	470
A.biovar 1	358
A.catesbeiana	8400
A.donax	35708
A.epidermidis	1282
A.gambiae	7165
A.genomosp. 2	470
A.genomospecies 2	470
A.graveolens	40922
A.influenza virus	11309
A.laidlawii	2148
A.lapathifolia	3704
A.lunatus	339
A.melanoleuca	9646
A.miscellum	354
A.nidulans	162425
A.nidulellus	162425
A.niger	5061
A.niger Tiegh.	5061
A.radiobacter	358
A.rusticana	3704
A.siderocapsulatus	303
A.thaliana	3702
A.thermophilum	31899
A.thiooxidans	930
A.tricoccum	138334
A.tricoccum Aiton	138334
A.trivirgatus	9505
A.tumefaciens	358
A.vinelandii	354
Acholeplasma laidlawaii	2148
Acholeplasma laidlawi	2148
Acholeplasma laidlawii	2148
Achromobacter lunatus	339
Achromobacter radiobacter	358
Acidithiobacillus thiooxidans	930
Acinetobacter baumanii	470
Acinetobacter baumanni	470
Acinetobacter baumannii	470
Acinetobacter genomosp. 2	470
Acinetobacter genomospecies 2	470
Adenovirus	10535
Aedes aegypti	7159
African ass	9793
African clawed frog	8355
African clawed frogs	8355
African dwarf goat	9925
African dwarf goats	9925
African malaria mosquito	7165
African malaria mosquitos	7165
African wild ass	9793
Agent of lymphatic filariasis	6279
Agrobacterium biovar 1	358
Agrobacterium radiobacter	358
Agrobacterium sp. ISSDS-827	358
Agrobacterium sp. ISSDS-827s	358
Agrobacterium tumefacien	358
Agrobacterium tumefaciens	358
AIDS virus	11676
AIDS virus	12721
Ailuropoda melanoleuca	9646
Ailuropoda melanoleura	9646
Aja	55581
Ajas	55581
Albococcus epidermidis	1282
Alcaligenes radiobacter	358
Allium tricoccum	138334
Allium tricoccum Aiton	138334
American tobacco	4097
American tobaccos	4097
Ampylobacter jejuni	197
Anaerocellum thermophilum	31899
Anethum graveolens	40922
Anopheles gambia	7165
Anopheles gambiae	7165
Anopheles gambiae sensu stricto	7165
Antbush	126820
Antbushs	126820
Anthrax	1392
Anthrax bacterium	1392
Anthrax bacteriums	1392
Anthraxs	1392
Aotus trivirgatus	9505
Aquarana catesbeiana	8400
Arabica coffee	13443
Arabica coffees	13443
Arabidopsis thaliana	3702
Arbisopsis thaliana	3702
Armoracia lapathifolia	3704
Armoracia laphatifolia	3704
Armoracia rusticana	3704
Arthrobacter siderocapsulatus	303
Arthrobacter sp. NCIB 9666	1718
Arthrobacter sp. NCIB 9666s	1718
Arundo donax	35708
Ashwagandha	126910
Ashwagandhas	126910
Aspergillus nidulans	162425
Aspergillus nidulellus	162425
Aspergillus niger	5061
Aspergillus niger Tiegh.	5061
Aspergilus nidulans	162425
Ass	9793
Asterococcus laidlawii	2148
Atlantic hagfish	7769
Atlantic hagfishs	7769
Atlantic salmon	8030
Atlantic salmons	8030
Avian influenza virus	11309
Azotobacter miscellum	354
Azotobacter vinelandii	354
Azotobacter vinelandii Lipman 1903	354
B. abortus	235
B. acnes	1747
B. afzelii	29518
B. afzeliusii	29518
B. anitratum	470
B. anthracis	1392
B. bovis	9913
B. bunyavirus group	35304
B. burgdorferi	139
B. campestre	339
B. campestris	339
B. carotovorum	554
B. carotovorus	554
B. cenocepacia	95486
B. cepacia	292
B. cepacia genomovar III	95486
B. cereus var. anthracis	1392
B. chang-fua	1718
B. cholerae-suis	28901
B. cinerea	40559
B. difficilis	1496
B. divaricatum	1718
B. enterocoliticum	630
B. fluorescens putidus	303
B. forsythus	28112
B. fuckeliana	40559
B. gaurus	9904
B. gingivalis	837
B. globigii	1423
B. glutamigenes	1718
B. graminis	34373
B. group VS461	29518
B. hermsii	140
B. influenzae	727
B. lactofermentum	1718
B. laevis	8355
B. lambda	10710
B. leukemia virus	11901
B. leukemia virus BLV	11901
B. licheniformis	1402
B. malayi	6279
B. melitensis	29459
B. melitensis biovar Abortus	235
B. microplus	6941
B. monocytogenes	1639
B. monocytogenes hominis	1639
B. natto	1423
B. parahaemolytica	670
B. pestis	632
B. pneumoniae	573
B. pneumoniae crouposae	573
B. primigenius taurus	9913
B. pseudomallei	28450
B. pseudotuberculosis	633
B. pseudotuberkulosis	633
B. putidus	303
B. radiobacter	358
B. rerio	7955
B. rerio frankei	7955
B. saccharolyticum	1718
B. seonmiso	1718
B. serogroup	35304
B. smegmatis	1772
B. sp.	10469
B. subtilis	1423
B. taipei	1718
B. taurus	9913
B. thiogenitalis	1718
B. tuberculosis	1773
B. tumefaciens	358
B. turicatae	142
B. uniflagellatus	1423
B. versicolor	5325
B. virus	35304
B. virus group	35304
B. whitmori	28450
B.abortus	235
B.acnes	1747
B.afzelii	29518
B.afzeliusii	29518
B.anitratum	470
B.anthracis	1392
B.bovis	9913
B.bunyavirus group	35304
B.burgdorferi	139
B.campestre	339
B.campestris	339
B.carotovorum	554
B.carotovorus	554
B.cenocepacia	95486
B.cepacia	292
B.cepacia genomovar III	95486
B.cereus var. anthracis	1392
B.chang-fua	1718
B.cholerae-suis	28901
B.cinerea	40559
B.difficilis	1496
B.divaricatum	1718
B.enterocoliticum	630
B.fluorescens putidus	303
B.forsythus	28112
B.fuckeliana	40559
B.gaurus	9904
B.gingivalis	837
B.globigii	1423
B.glutamigenes	1718
B.graminis	34373
B.group VS461	29518
B.hermsii	140
B.influenzae	727
B.lactofermentum	1718
B.laevis	8355
B.lambda	10710
B.leukemia virus	11901
B.leukemia virus BLV	11901
B.licheniformis	1402
B.malayi	6279
B.melitensis	29459
B.melitensis biovar Abortus	235
B.microplus	6941
B.monocytogenes	1639
B.monocytogenes hominis	1639
B.natto	1423
B.parahaemolytica	670
B.pestis	632
B.pneumoniae	573
B.pneumoniae crouposae	573
B.primigenius taurus	9913
B.pseudomallei	28450
B.pseudotuberculosis	633
B.pseudotuberkulosis	633
B.putidus	303
B.radiobacter	358
B.rerio	7955
B.rerio frankei	7955
B.saccharolyticum	1718
B.seonmiso	1718
B.serogroup	35304
B.smegmatis	1772
B.sp.	10469
B.subtilis	1423
B.taipei	1718
B.taurus	9913
B.thiogenitalis	1718
B.tuberculosis	1773
B.tumefaciens	358
B.turicatae	142
B.uniflagellatus	1423
B.versicolor	5325
B.virus	35304
