A. abietina	127520
A. abietis	127520
A. absinthium	72332
A. abstrusus	321389
A. acetabulum	35845
A. aceti	435
A. aceti aceti	435
A. aceti orleanensis	435
A. aceti subsp. aceti	435
A. aceti subsp. xylinum	28448
A. aceti subsp. xylinus	28448
A. aceti var. muciparum	435
A. aceti xylinum	28448
A. acidocaldarius	405212
A. acidophilum	76588
A. acidoterrestris	1450
A. acidum-mucosum	438
A. aconitus	93947
A. actinomycetemcomitans	714
A. aculeatus	5053
A. acuta	28680
A. acutiloba	55605
A. acutus	36307
A. adeninivorans	409370
A. adeno-associated virus	341671
A. adenophora	176616
A. adiacens	46124
A. adjacens	46124
A. adsurgens	20401
A. aegerita	5400
A. aegypti	7159
A. aeolicus	63363
A. aerogenes	548
A. aerophoba	289389
A. aestiva	12930
A. aestivalis	113211
A. aestivalis L.	113211
A. affinis	189533
A. afra	72333
A. africana	162641
A. agalactiae	2110
A. agalaxiae	2110
A. agama	103336
A. agglutinans	438
A. agilis	400481
A. agrarius	39030
A. airensis	10068
A. alata	138590
A. alba	110620
A. alba	45372
A. alba	53522
A. alba Mill.	45372
A. albidoflavus	1886
A. albifrons	36673
A. albifrons	50365
A. albigena	10068
A. albilineans	29447
A. albimanus	7167
A. albitarsis	58236
A. albitarsis s.s.	58236
A. albiventris	9368
A. albopictus	7160
A. alburnus	54556
A. alces	9852
A. alces americana	999462
A. alcoholophilus	438
A. algerae	723287
A. alliaceus	209559
A. allosaccharophila	656
A. alnifolia	32219
A. alosoides	54904
A. alternata	5599
A. altilis	194251
A. altissima	23810
A. amabilis	97174
A. amabilis Douglas ex J.Forbes	97174
A. amazonense	28077
A. ambisexualis	4768
A. ambivalens	2283
A. ameiva	8535
A. amentacea subsp. wilkesiana	217498
A. americana	30385
A. americana	39510
A. americana	9891
A. americana L.	39510
A. americana var. marginata	39510
A. americana var. marginata Trel.	39510
A. americanum	6943
A. americanus	8389
A. americanus	999462
A. aminovorans	83263
A. ampeloprasum	4681
A. amstelodami	5054
A. amurensis	7602
A. anaerobium	542
A. anatina	143294
A. anatolicum	226020
A. anatolicum Hausskn. ex Nyar.	226020
A. andersoni	714357
A. aneura	205021
A. aneura F.Muell. ex Benth.	205021
A. aneurinilyticus	1391
A. aneurinolyticus	1391
A. angill	7936
A. anguilla	7936
A. anguillae	185726
A. anguina	221568
A. angustifolia	56992
A. anitratum	107673
A. anitratus	107673
A. annua	35608
A. annulatus	1892
A. anophagefferens	44056
A. anser	8843
A. ansochromogenes	115647
A. ansorgei	204747
A. antarcticus	8605
A. anthropophagus	74872
A. antibioticus	1890
A. aperta	6908
A. aphrophilus	732
A. apii	27335
A. apis	5105
A. applanata	327282
A. apus	8895
A. aquasalis	42839
A. aquaticus	100
A. aquaticus	92525
A. arabiensis	7173
A. ararauna	9226
A. arborescens	45385
A. arborescens	72386
A. arbuscula	64504
A. arbustorum	45985
A. archangelica	40949
A. archangelica L.	40949
