(embryonic) hindbrain flexure	UBERON:0005820
(mid-third) lateral capsular ligament	UBERON:0014899
(pre-)piriform cortex	UBERON:0002590
02 optic nerve	UBERON:0000941
1-cell stage	UBERON:0000106
1st arch artery	UBERON:0003118
1st arch branchial groove	UBERON:0005872
1st arch branchial pouch	UBERON:0007122
1st arch branchial pouch endoderm	UBERON:0007122
1st arch groove ectoderm	UBERON:0005872
1st arch mandibular component	UBERON:0007237
1st arch mandibular ectoderm	UBERON:0013155
1st arch mandibular endoderm	UBERON:0013156
1st arch mandibular mesenchyme	UBERON:0009584
1st arch mandibular mesenchyme from head mesenchyme	UBERON:0010339
1st arch mandibular mesenchyme from neural crest	UBERON:0010252
1st arch maxillary component	UBERON:0007238
1st arch maxillary ectoderm	UBERON:0012313
1st arch maxillary endoderm	UBERON:0013154
1st arch maxillary mesenchyme	UBERON:0010045
1st arch maxillary mesenchyme from head mesenchyme	UBERON:0010338
1st arch maxillary mesenchyme from neural crest	UBERON:0010253
1st arch maxillary-mandibular cleft	UBERON:0013157
1st arch maxillary-mandibular groove ectoderm	UBERON:0013157
1st arch mesenchyme	UBERON:0010042
1st arch mesenchyme from head mesenchyme	UBERON:0010341
1st arch mesenchyme from neural crest	UBERON:0010259
1st arch pharyngeal cleft	UBERON:0005872
1st arch pouch endoderm	UBERON:0007122
1st branchial membrane	UBERON:0009213
1st branchial pouch	UBERON:0007122
1st pharyngeal arch	UBERON:0004362
1st pharyngeal groove	UBERON:0005872
1st pharyngeal groove ectoderm	UBERON:0005872
1st pharyngeal membrane	UBERON:0009213
1st pharyngeal pouch endoderm	UBERON:0007122
2 cell stage	UBERON:0007232
2 nd digit of hand digit long bone	UBERON:0003636
2 nd digit of hand long bone of digit	UBERON:0003636
2 nd digit of hand metacarpal	UBERON:0003646
2 nd digit of hand metacarpal bone	UBERON:0003646
2 nd digit of hand phalanx	UBERON:0003636
2 nd finger digit long bone	UBERON:0003636
2 nd finger long bone of digit	UBERON:0003636
2 nd finger metacarpal	UBERON:0003646
2 nd finger metacarpal bone	UBERON:0003646
2 nd finger phalanx	UBERON:0003636
2-cell stage	UBERON:0007232
2-cell stage embryo	UBERON:0019249
2nd arch artery	UBERON:0003119
2nd arch branchial groove	UBERON:0005873
2nd arch branchial pouch	UBERON:0007123
2nd arch branchial pouch endoderm	UBERON:0007123
2nd arch ectoderm	UBERON:0005660
2nd arch endoderm	UBERON:0005664
2nd arch groove ectoderm	UBERON:0005873
2nd arch mesenchyme	UBERON:0005689
2nd arch mesenchyme from head mesenchyme	UBERON:0010343
2nd arch mesenchyme from neural crest	UBERON:0010254
2nd arch pharyngeal cleft	UBERON:0005873
2nd arch pouch endoderm	UBERON:0007123
2nd branchial pouch	UBERON:0007123
2nd digit distal phalanx	UBERON:0014484
2nd digit intermediate phalanx	UBERON:0014488
2nd digit middle phalanx	UBERON:0014488
2nd digit of autopod proximal phalanx	UBERON:0014502
2nd digit of hand	UBERON:0003622
2nd digit of hand distal phalanx	UBERON:0004311
2nd digit of hand intermediate phalanx	UBERON:0004320
2nd digit of hand middle phalanx	UBERON:0004320
2nd digit of hand proximal phalanx	UBERON:0004328
2nd digit of intermediate phalanx	UBERON:0014488
2nd digit of middle phalanx	UBERON:0014488
2nd digit proximal phalanx	UBERON:0014502
2nd finger	UBERON:0003622
2nd finger distal phalanx	UBERON:0004311
2nd finger intermediate phalanx	UBERON:0004320
