(9-1-1) complex	9_1_1
14-3-3	p14_3_3
14-3-3 proteins	p14_3_3
4EBP	EIF4EBP
5-hydroxytryptamine-receptors-ionotropic	5_hydroxytryptamine_receptors_ionotropic
55S Mitoribosome	Mitochondrial_Ribosome
55S mammalian mitochondrial ribosome	Mitochondrial_Ribosome
55S mitoribosome	Mitochondrial_Ribosome
55s Mitoribosome	Mitochondrial_Ribosome
55s mitoribosome	Mitochondrial_Ribosome
9-1-1	9_1_1
9-1-1	9_1_1
9-1-1 complex	9_1_1
A2t	Annexin_II_heterotetramer
A4GALT-family	A4GALT_family
ABL	ABL_family
ABL family	ABL_family
ABL-family	ABL_family
ACAD	ACAD
ACC	ACC
ACCs	ACC
ACOX	ACOX
ACS	Acetyl_CoA_synthetase
ACSL	ACSL
ACTN	ACTN
ADCY	ADCY
ADH	ADH
ADORA	ADORA
ADP ribosylation factor	ARF_GTPase_family
ADRA	ADRA
ADRA2	ADRA2
ADRB	ADRB
ADRBK	ADRBK
AKT	AKT
AKT family	AKT
ALDH	ALDH
ALDO	ALDO
ALG1-family	ALG1_family
ALG10	ALG10
ALG13-family	ALG13_family
ALG3-family	ALG3_family
ALG6-family	ALG6_family
AMLC	MYL_alkali
AMP-activated	AMPK
AMPA glutamate receptor	GRIA
AMPA receptor	GRIA
AMPA-R	GRIA
AMPA-subtype ionotropic glutamate receptors	GRIA
AMPAR	GRIA
AMPARs	GRIA
AMPK	AMPK
AMPK (A1/B1/G1)	AMPK_A1B1G1
AMPK (A1/B1/G2)	AMPK_A1B1G2
AMPK (A1/B1/G3)	AMPK_A1B1G3
AMPK (A1/B2/G1)	AMPK_A1B2G1
AMPK (A1/B2/G2)	AMPK_A1B2G2
AMPK (A1/B2/G3)	AMPK_A1B2G3
AMPK (A2/B1/G1)	AMPK_A2B1G1
AMPK (A2/B1/G2)	AMPK_A2B1G2
AMPK (A2/B1/G3)	AMPK_A2B1G3
AMPK (A2/B2/G1)	AMPK_A2B2G1
AMPK (A2/B2/G2)	AMPK_A2B2G2
AMPK (A2/B2/G3)	AMPK_A2B2G3
