11p Partial Monosomy Syndrome	D017624
11q Deletion Disorder	D054868
11q- Deletion Syndrome	D054868
11q Deletion Syndrome	D054868
11q- Deletion Syndromes	D054868
11q Terminal Deletion Disorder	D054868
1 Chromosomes, Ph	D010677
1 Craniosynostoses, Type	D003398
1 Craniosynostosis, Type	D003398
1, Preeclampsia Eclampsia	D011225
1s, Preeclampsia Eclampsia	D011225
22q11 Deletion Syndrome	D058165
22q11 Deletion Syndromes	D058165
3-Methylglutaconicaciduria Type 2	D056889
3 Methylglutaconicaciduria Type 2	D056889
3-Methylglutaconicaciduria Type 2s	D056889
3-Methylglutaconicaciduria Type II	D056889
3-Methylglutaconic Aciduria, Type II	D056889
3 Methylglutaconic Aciduria, Type II	D056889
3-Methylglutaconicaciduria Type IIs	D056889
3s, Spinocerebellar Ataxia	D017827
46, XX Disorders of Sex Development	D058489
46,XX Disorders of Sex Development	D058489
46,XX DSD	D058489
46, XX DSD	D058489
46,XX Gonadal Dysgenesis, Complete, Sry-Positive	D050090
46, XX Testicular Disorder of Sex Development	D058531
46, XX Testicular Disorders of Sex Development	D058531
46, XX Testicular DSD	D058531
46,XX True Hermaphroditism, Sry-Positive	D050090
46,XY Disorders of Sex Development	D058490
46, XY Disorders of Sex Development	D058490
46,XY DSD	D058490
46, XY DSD	D058490
46,XY DSDs	D058490
46, XY Gonadal Dysgenesis	D006061
46, XY Gonadal Sex Reversal	D006061
47,XX,+21	D004314
47,XY,+21	D004314
4p Deletion Syndrome	D054877
4p- Syndrome	D054877
4p Syndrome, Chromosome	D054877
4p Syndromes, Chromosome	D054877
5p Deletion Syndrome	D003410
5p Deletion Syndromes	D003410
5p Minus Syndrome	D003410
5p Minus Syndromes	D003410
5p- Syndrome	D003410
5p Syndrome	D003410
5p- Syndrome, Chromosome	D003410
5p- Syndromes	D003410
5p- Syndromes, Chromosome	D003410
Abdomen, Acute	D000006
Abdomens, Acute	D000006
Abdominal Abscess	D018784
Abdominal Abscesses	D018784
Abdominal Aortic Aneurysm	D017544
Abdominal Aortic Aneurysms	D017544
Abdominal Fibromatoses	D018221
Abdominal Fibromatosis	D018221
Abdominal Hernia	D046449
Abdominal Hernias	D046449
Abdominal Injuries	D000007
Abdominal Injury	D000007
Abdominal Muscle Deficiency Syndrome	D011535
Abdominal Neoplasm	D000008
Abdominal Neoplasms	D000008
Abdominal Obesities	D056128
Abdominal Obesity	D056128
Abdominal Pain	D015746
Abdominal Pains	D015746
Abdominal Pregnancies	D011269
Abdominal Pregnancy	D011269
Abdominal Typhus	D014435
Abducens Nerve Disease	D020434
Abducens Nerve Diseases	D020434
Abducens Nerve Injuries	D020222
Abducens Nerve Injury	D020222
Abducens Nerve Trauma	D020222
Abducens Nerve Traumas	D020222
Abducens Neuropathies, Traumatic	D020222
Abducens Neuropathy, Traumatic	D020222
Aberrant Crypt Foci	D058739
Aberrant Tissue	D002828
Aberrant Tissues	D002828
Aberration, Chromosomal	D002869
Aberration, Chromosome	D002869
Aberration, Corneal Wavefront	D057108
Aberration, Cytogenetic	D002869
Aberrations, Chromosomal	D002869
Aberrations, Chromosome	D002869
Aberrations, Corneal Wavefront	D057108
Aberrations, Cytogenetic	D002869
Aberration, Sex Chromosome	D012729
Aberrations, Sex Chromosome	D012729
Abetalipoproteinemia	D000012
