A band	SL-0476
A line	SL-0476
A-band	SL-0476
AJ	SL-0009
ASC focus	SL-0488
ASC speck	SL-0488
Acidocalcisomal lumen	SL-0316
Acidocalcisomal membrane	SL-0003
Acidocalcisome	SL-0002
Acidocalcisome lumen	SL-0316
Acidocalcisome membrane	SL-0003
Acrosomal inner membrane	SL-0004
Acrosomal lumen	SL-0005
Acrosomal membrane	SL-0006
Acrosomal outer membrane	SL-0447
Acrosomal vesicle	SL-0007
Acrosome	SL-0007
Acrosome inner membrane	SL-0004
Acrosome lumen	SL-0005
Acrosome membrane	SL-0006
Acrosome outer membrane	SL-0447
Actin cortical patch	SL-0008
Actin patch	SL-0008
Adherens junction	SL-0009
Aleurone grain	SL-0010
Aleurone grain lumen	SL-0317
Aleurone grain membrane	SL-0011
Amyloplast	SL-0012
Amyloplast inner membrane	SL-0013
Amyloplast membrane	SL-0014
Anammoxosome	SL-0491
Anammoxosome membrane	SL-0492
Apical cell membrane	SL-0015
Apical lamina	SL-0016
Apical plasma membrane	SL-0015
Apicolateral cell membrane	SL-0017
Apicolateral plasma membrane	SL-0017
Apicoplast	SL-0018
Apoplast	SL-0019
Apparatus golgiensis	SL-0132
Archaeal flagella	SL-0306
Archaeal flagellar apparatus	SL-0306
Archaeal flagellum	SL-0306
Archaellum	SL-0306
Ascus epiplasm	SL-0538
Attachment organelle	SL-0020
Attachment organelle membrane	SL-0021
Autolysosome	SL-0535
Autolysosome lumen	SL-0537
Autolysosome membrane	SL-0536
Autophagic vacuole	SL-0023
Autophagosomal lumen	SL-0318
Autophagosomal membrane	SL-0022
Autophagosome	SL-0023
Autophagosome lumen	SL-0318
Autophagosome membrane	SL-0022
Axon	SL-0279
Axon shaft	SL-0279
Bacterial extracellular vesicle	SL-0489
Bacterial flagella	SL-0307
Bacterial flagella filament	SL-0358
Bacterial flagella hook	SL-0357
Bacterial flagellar apparatus	SL-0307
Bacterial flagellar filament	SL-0358
Bacterial flagellar hook	SL-0357
Bacterial flagellar motor	SL-0142
Bacterial flagellum	SL-0307
Bacterial flagellum basal body	SL-0142
Bacterial flagellum filament	SL-0358
Bacterial flagellum hook	SL-0357
Bacterial membrane vesicle	SL-0489
Bacterial microcompartment	SL-0544
Bacterial thylakoid	SL-0043
Barrier septum	SL-0454
Basal cell membrane	SL-0024
Basal plasma membrane	SL-0024
Basement membrane	SL-0025
Basolateral cell membrane	SL-0026
Basolateral plasma membrane	SL-0026
Bleb	SL-0472
Bud	SL-0027
Bud membrane	SL-0028
Bud neck	SL-0029
Bud tip	SL-0030
CCV	SL-0070
CGN	SL-0067
COPI-coated vesicle	SL-0075
COPI-coated vesicle lumen	SL-0321
COPI-coated vesicle membrane	SL-0076
COPII-coated vesicle	SL-0077
COPII-coated vesicle lumen	SL-0322
COPII-coated vesicle membrane	SL-0078
CV	SL-0073
CVC	SL-0073
Cajal body	SL-0031
Calyces	SL-0032
Calyx	SL-0032
Capsule	SL-0033
Carboxysome	SL-0034
Caveola	SL-0035
Caveolae	SL-0035
Cell cortex	SL-0138
Cell envelope	SL-0036
Cell inner membrane	SL-0037
Cell junction	SL-0038
Cell membrane	SL-0039
Cell outer membrane	SL-0040
Cell projection	SL-0280
Cell protrusion	SL-0280
Cell septum	SL-0455
Cell surface	SL-0310
Cell tip	SL-0456
Cell wall	SL-0041
Cellular bud membrane	SL-0028
Cellular bud neck	SL-0029
Cellular bud tip	SL-0030
Cellular chromatophore membrane	SL-0042
Cellular thylakoid	SL-0043
Cellular thylakoid lumen	SL-0044
Cellular thylakoid membrane	SL-0045
Centriolar satellite	SL-0485
Centriole	SL-0046
Centromere	SL-0047
Centrosome	SL-0048
Chloroplast	SL-0049
Chloroplast envelope	SL-0050
Chloroplast inner membrane	SL-0051
Chloroplast intermembrane space	SL-0052
Chloroplast membrane	SL-0053
Chloroplast nucleoid	SL-0139
Chloroplast outer membrane	SL-0054
Chloroplast stroma	SL-0055
Chloroplast thylakoid	SL-0056
Chloroplast thylakoid lumen	SL-0057
Chloroplast thylakoid membrane	SL-0058
Chloroplastic envelope	SL-0050
Chloroplastic inner membrane	SL-0051
Chloroplastic intermembrane space	SL-0052
Chloroplastic membrane	SL-0053
Chloroplastic nucleoid	SL-0139
Chloroplastic outer membrane	SL-0054
Chloroplastic stroma	SL-0055
Chlorosomal envelope	SL-0060
Chlorosome	SL-0059
Chlorosome envelope	SL-0060
Chromaffin granular lumen	SL-0349
Chromaffin granular membrane	SL-0062
Chromaffin granule	SL-0061
Chromaffin granule lumen	SL-0349
Chromaffin granule membrane	SL-0062
Chromatophore membrane	SL-0042
Chromoplast	SL-0063
Chromoplast membrane	SL-0064
Chromoplast stroma	SL-0065
Chromoplastic membrane	SL-0064
