expt_keyword	indra_stmt	subj_hgnc	subj_text	obj_hgnc	obj_text	sentence
siRNA	DecreaseAmount(AQP4(), AQP4())	637	AQP4	637	AQP4	Specifically, AQP4 siRNA interference was able to decrease AQP4 protein expression in the CBT area after 48 h when pathological edema was not apparent.
siRNA	DecreaseAmount(PIDD1(), PIDD1())	16491	PIDD	16491	PIDD	Western blotting analysis demonstrated that PIDD or RAIDD siRNA potently down-regulated the expression of PIDD and RAIDD (XREF_FIG).
siRNA	IncreaseAmount(DHX58(), IRF3())	29517	RLR	6118	IRF3	Accordingly, silencing IRF3 expression using siRNA (XREF_FIG, 5 th lane) largely rescued the repression of the TGF-beta and Smad pathway by RLR activation (XREF_FIG, lanes 3, 5, 6, XREF_SUPPLEMENTARY).
siRNA	IncreaseAmount(IL1B(), CCL2())	5992	IL-1beta	10618	CCL2	TNF-alpha or IL-1beta also increased CCL2 expression, which was suppressed by both siRNA and shRNA targeting TRAF6.
siRNA	DecreaseAmount(PDGFRA(), PDGFRA())	8803	PDGFR-alpha	8803	PDGFR-alpha	PDGFR-alpha siRNA down-regulated PDGFR-alpha expression, blocked binding to PDGF-AA, and inhibited fibroblast transdifferentiation to myofibroblasts.
siRNA	IncreaseAmount(SIX1(), ROS1())	10887	SIX1	10261	ROS	SIX1 siRNA increased TAX sensitivity of HepG2 cells and upregulated cell ROS levels.
siRNA	DecreaseAmount(LEP(), STAT3())	6553	leptin	11364	p-STAT3	In both A549 and 95D cells, leptin siRNA treatment for 48h significantly downregulated the expression of Notch-1, p-JAK1, p-JAK2, and p-STAT3 but not t-JAK1, t-JAK2, and t- STAT3 compared with control siRNA treatment.
siRNA	IncreaseAmount(AHR(), AHR())	348	AhR	348	AhR	Furthermore, targeting AhR messenger RNA (mRNA) expression in T24 cells with small interfering RNA (siRNA) downregulated the mRNA expression of AhR, CYP1A1, CYP1B1, MMP-1, MMP-2 and MMP-9; furthermore, the cells transfected with siRNA for AhR showed decreased invasion activity in comparison with the cells transfected with a non targeting siRNA.
siRNA	DecreaseAmount(SESN2(), TFAM())	20746	Sesn2	11741	TFAM	Sesn2 siRNA decreased expression of mitochondrial biogenesis proteins, NRF-1 and TFAM, as well as ROS detoxifying proteins, SOD2 and UCP2, and this effect was prevented by AICAR.
siRNA	DecreaseAmount(ADIPOQ(), TNF())	13633	adiponectin	11892	TNF-alpha	Knockdown of IL-10 expression in primary cultures of Kupffer cells with small interfering RNA (siRNA) prevented the inhibitory effect of globular adiponectin (gAcrp) on LPS stimulated TNF-alpha expression.
siRNA	DecreaseAmount(SUZ12(), MMP9())	17101	SUZ12	7176	MMP-9	In conclusion, SUZ12 siRNA inhibited cell invasion and the expression of VEGF, MMP-2 and MMP-9 in SO-RB50 retinoblastoma cells.
siRNA	DecreaseAmount(VDR(), VDR())	12679	VDR	12679	VDR	We further found that inhibition of VDR expression by VDR siRNA blocked 1,25 (OH) 2 D 3 induced increased VEGF and CuZn-SOD expression.
