0	0-4	cellosaurus:CVCL_0579
4	2-22	cellosaurus:CVCL_0579
5	9-15	
5	11-15	
5	39-41	
6	5-7	
34	28-31	cellosaurus:CVCL_0579
62	15-20	cellosaurus:CVCL_0579
62	15-22	cellosaurus:CVCL_0579
62	40-45	cellosaurus:CVCL_0579
62	58-63	cellosaurus:CVCL_0579
62	58-65	cellosaurus:CVCL_0579
82	53-56	cellosaurus:CVCL_0579,tissuelist:TS-0136
89	14-16	cellosaurus:CVCL_0579
92	1-4	cellosaurus:CVCL_0440,cellosaurus:CVCL_0347
93	24-25	cellosaurus:CVCL_0579
97	3-6	taxonomy:9606,tissuelist:TS-0362,cellosaurus:CVCL_0579
98	0-3	taxonomy:9606,tissuelist:TS-0362,cellosaurus:CVCL_0579
99	1-4	taxonomy:9606,tissuelist:TS-0362,cellosaurus:CVCL_0579
101	8-10	cellosaurus:CVCL_0579
102	6-9	taxonomy:9606,tissuelist:TS-0362,cellosaurus:CVCL_0579
102	6-24	taxonomy:9606,tissuelist:TS-0362,cellosaurus:CVCL_0579
103	5-7	cellosaurus:CVCL_0579
103	32-33	cellosaurus:CVCL_0579
105	3-6	cellosaurus:CVCL_0579
106	1-4	cellosaurus:CVCL_0579
107	4-7	cellosaurus:CVCL_0579
107	33-36	cellosaurus:CVCL_0579
109	8-11	
109	8-15	cellosaurus:CVCL_0579
109	13-15	
111	2-5	
111	2-15	cellosaurus:CVCL_0579
112	10-13	cellosaurus:CVCL_0579
112	26-29	cellosaurus:CVCL_0579
114	1-4	cellosaurus:CVCL_0579
114	6-9	cellosaurus:CVCL_0579
118	9-12	cellosaurus:CVCL_0579
121	7-10	cellosaurus:CVCL_0579
123	20-22	cellosaurus:CVCL_0579
124	5-10	
124	19-23	
125	2-6	cellosaurus:CVCL_0579
125	2-13	cellosaurus:CVCL_0579
128	0-4	cellosaurus:CVCL_0579
128	0-6	cellosaurus:CVCL_0579
132	15-18	cellosaurus:CVCL_0579
133	7-18	cellosaurus:CVCL_0579
139	1-3	
139	1-5	
141	4-6	
141	4-8	cellosaurus:CVCL_0579
141	14-16	cellosaurus:CVCL_0579
142	1-3	cellosaurus:CVCL_0579
142	1-7	cellosaurus:CVCL_0579
142	1-13	cellosaurus:CVCL_0579
143	1-3	
143	1-7	cellosaurus:CVCL_0579
143	15-17	
143	15-19	cellosaurus:CVCL_0579
144	8-14	cellosaurus:CVCL_0579
147	16-20	cellosaurus:CVCL_0579
148	1-4	cellosaurus:CVCL_0579
148	12-15	cellosaurus:CVCL_0579
149	2-5	cellosaurus:CVCL_0579
149	7-14	cellosaurus:CVCL_0579
149	34-37	cellosaurus:CVCL_0579
151	3-5	cellosaurus:CVCL_0579
168	8-14	cellosaurus:CVCL_0579
168	8-16	cellosaurus:CVCL_0579
168	8-22	cellosaurus:CVCL_0579
168	8-24	cellosaurus:CVCL_0579
168	19-24	cellosaurus:CVCL_0579
172	7-8	cellosaurus:CVCL_0579
172	28-30	cellosaurus:CVCL_0579
174	0-3	cellosaurus:CVCL_0579
177	8-11	cellosaurus:CVCL_0579
183	7-11	cellosaurus:CVCL_0579
184	13-17	cellosaurus:CVCL_0579
187	3-11	tissuelist:TS-0681,cellosaurus:CVCL_0531
195	31-34	cellosaurus:CVCL_0579,go:GO:0005737
202	4-7	
202	4-23	
203	9-12	cellosaurus:CVCL_0579
203	25-29	cellosaurus:CVCL_0579
204	27-29	cellosaurus:CVCL_0579
204	38-39	cellosaurus:CVCL_0579
205	2-5	cellosaurus:CVCL_0579
205	2-16	cellosaurus:CVCL_0579
206	7-10	
206	7-25	cellosaurus:CVCL_0579
206	7-27	cellosaurus:CVCL_0579
206	22-25	cellosaurus:CVCL_0579
211	1-4	cellosaurus:CVCL_0579
217	5-9	
281	5-6	cellosaurus:CVCL_0579
