1	13-14	manual:N1E-115-cells
5	4-6	manual:Swiss-3T3-cells
6	1-2	manual:N1E-115-cells
7	23-24	manual:N1E-115-cells
8	1-3	manual:Swiss-3T3-cells
8	5-6	manual:N1E-115-cells
18	11-12	manual:N1E-115-cells
21	4-6	manual:Swiss-3T3-cells
27	4-6	manual:Swiss-3T3-cells
30	2-4	manual:Swiss-3T3-cells
30	6-7	manual:N1E-115-cells
61	19-20	manual:E.-coli
89	3-4	manual:N1E-115-cells
90	0-2	manual:Swiss-3T3-cells
92	4-5	manual:N1E-115-cells
100	3-4	manual:N1E-115-cells
169	0-2	manual:Swiss-3T3-cells
170	1-3	manual:Swiss-3T3-cells
172	19-21	manual:Swiss-3T3-cells
181	0-2	manual:Swiss-3T3-cells
197	24-26	manual:Swiss-3T3-cells
204	23-23	manual:neuronal
206	0-1	manual:N1E-115-cells
216	4-5	manual:N1E-115-cells
217	7-8	manual:N1E-115-cells
224	2-4	manual:Swiss-3T3-cells
224	18-19	manual:N1E-115-cells
228	17-18	manual:N1E-115-cells
233	13-14	manual:N1E-115-cells
241	9-11	manual:Swiss-3T3-cells
250	16-18	manual:Swiss-3T3-cells
251	2-4	manual:Swiss-3T3-cells
266	4-5	manual:N1E-115-cells
267	3-4	manual:N1E-115-cells
273	25-26	manual:N1E-115-cells
276	2-4	manual:Swiss-3T3-cells
276	6-7	manual:N1E-115-cells
279	14-14	manual:neuronal
