(Glc)1 (GlcNAc)2 (Man)9	UA-BP-SC-00310
(d)A, (d)G, (d)I	UA-BP-SC-00311
(d)ADP	UA-BP-SC-00312
(d)ADP, (d)CDP	UA-BP-SC-00313
(d)AMP	UA-BP-SC-00314
(d)AMP, (d)CMP	UA-BP-SC-00315
(d)AMP, (d)GMP, (d)IMP	UA-BP-SC-00316
(d)CDP, UDP	UA-BP-SC-00317
(d)CMP, TMP, (d)UMP	UA-BP-SC-00318
(d)CMP, UMP	UA-BP-SC-00319
(d)GDP	UA-BP-SC-00320
(d)GMP	UA-BP-SC-00321
(d)NDP	UA-BP-SC-00322
(d)NTP	UA-BP-SC-00323
(deoxy)cytidine, thymidine, (deoxy)uridine	UA-BP-SC-00324
2-chloroethyl ethyl sulfide	UA-BP-SC-00325
4-hydroxyequilenin-o-quinone	UA-BP-SC-00326
4-hydroxyequilenin-o-quinone (reduction)	UA-BP-SC-00327
4-nitrophenol (glucuronidation)	UA-BP-SC-00328
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	UA-BP-SC-00329
ABCC4 transported dense granule content	UA-BP-SC-00330
ABT-100	UA-BP-SC-00331
ACA	UA-BP-SC-00332
ADP, GDP, CDP, UDP	UA-BP-SC-00333
ADR	UA-BP-SC-00334
Acids transported by SMCT1	UA-BP-SC-00335
Asbestos, Serpentine	UA-BP-SC-00336
BUT	UA-BP-SC-00337
Ca2+/Mg2+	UA-BP-SC-00338
Ca2+/Mg2+/Mn2+	UA-BP-SC-00339
Coloring Agents	UA-BP-SC-00340
Cyt-Rib	UA-BP-SC-00341
DAG	UA-BP-SC-00342
E2	UA-BP-SC-00343
Estrone (reduction)	UA-BP-SC-00344
Estrone analog	UA-BP-SC-00345
Ethyl Methanesulfonate	UA-BP-SC-00346
Fru(1)P	UA-BP-SC-00347
Fru(6)P	UA-BP-SC-00348
GGTI 2147	UA-BP-SC-00349
Ginkgo biloba extract 761	UA-BP-SC-00350
Glutathione analog	UA-BP-SC-00351
Gua-Rib	UA-BP-SC-00352
IP4	UA-BP-SC-00353
K 7174	UA-BP-SC-00354
L 744832	UA-BP-SC-00355
L-Asp	UA-BP-SC-00356
LACT	UA-BP-SC-00357
LPA	UA-BP-SC-00358
MCT substrates	UA-BP-SC-00359
N,N'-DIMETHYL-N-(ACETYL)-N'-(7-NITROBENZ-2-OXA-1,3-DIAZOL-4-YL)ETHYLENEDIAMINE	UA-BP-SC-00360
NAD(P)+	UA-BP-SC-00361
NAD(P)H	UA-BP-SC-00362
PI(3,4,5)P3	UA-BP-SC-00363
PI(4,5)P2	UA-BP-SC-00364
PI-3-4-5-P3	UA-BP-SC-00365
PI-3-4-P2	UA-BP-SC-00366
PI-4-5-P2	UA-BP-SC-00367
PI-4-P	UA-BP-SC-00368
Plant Extracts	UA-BP-SC-00369
Polychlorinated Biphenyls	UA-BP-SC-00370
Purine nucleotide	UA-BP-SC-00371
Smoke	UA-BP-SC-00372
T-DHT	UA-BP-SC-00373
Thy-dRib	UA-BP-SC-00374
Tobacco Smoke Pollution	UA-BP-SC-00375
Ura-Rib	UA-BP-SC-00376
Vanadates	UA-BP-SC-00377
Zinostatin	UA-BP-SC-00378
[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID	UA-BP-SC-00379
adenosine, deoxyadenosine	UA-BP-SC-00380
benzo(a)pyrene 7,8-dihydrodiol	UA-BP-SC-00381
benzo(a)pyrene-3,6-quinone	UA-BP-SC-00382
benzo(a)pyrene-3,6-quinone (reduction)	UA-BP-SC-00383
benzo(a)pyrene-7,8-dione	UA-BP-SC-00384
benzo(a)pyrene-7,8-dione (reduction)	UA-BP-SC-00385
dADP, dGDP, dCDP, dUDP	UA-BP-SC-00386
dI	UA-BP-SC-00387
dUDP, TDP	UA-BP-SC-00388
dUMP, TMP	UA-BP-SC-00389
farnesylthiosalicylic acid	UA-BP-SC-00390
hexabromocyclododecane	UA-BP-SC-00391
ligands of SLC28A1	UA-BP-SC-00392
ligands of SLC28A2	UA-BP-SC-00393
ligands of SLC28A3	UA-BP-SC-00394
ligands of SLC29A1	UA-BP-SC-00395
ligands of SLC29A2	UA-BP-SC-00396
ligands of SLC29A3	UA-BP-SC-00397
ligands of SLC29A4	UA-BP-SC-00398
manumycin	UA-BP-SC-00399
matrine	UA-BP-SC-00400
phenylhydroquinone	UA-BP-SC-00401
pirinixic acid	UA-BP-SC-00402
