(+) RNA virus helicase core domain	IPR027351
(+)RNA_virus_helicase_core_dom	IPR027351
1,3-beta-glucan synthase subunit FKS1-like, domain-1	IPR026899
1-acyl-sn-glycerol-3-phosphate acyltransferase	IPR004552
1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal	IPR013644
1-deoxy-D-xylulose 5-phosphate reductoisomerase, N-terminal	IPR013512
14-3-3 domain	IPR023410
14-3-3_domain	IPR023410
16S rRNA endonuclease CdiA	IPR028190
1a_necrotic_phenotyp-det_dom	IPR021002
2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal	IPR018952
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase, N-terminal	IPR013710
2-5-oligoAdlate_synth_1_dom2/C	IPR018952
2-5-oligoadenylate synthetase, N-terminal	IPR006116
2-5-oligoadenylate_synth_N	IPR006116
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	IPR003526
2-cysteine adaptor	IPR014901
2-cysteine_adaptor	IPR014901
2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	IPR013709
2-isopropylmalate_synth_dimer	IPR013709
2-nitropropane dioxygenase, NPD	IPR004136
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 1	IPR017580
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 2	IPR017595
2-oxoacid dehydrogenase acyltransferase, catalytic domain	IPR001078
2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate	IPR011898
2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate	IPR011894
2-oxoacid_DH_actylTfrase	IPR001078
2-oxoisovalerate dehydrogenase, E1 alpha subunit, N-terminal domain	IPR022593
26S proteasome regulatory subunit, C-terminal	IPR013586
26S_Psome_reg_C	IPR013586
2CSK_N	IPR013727
2Fe-2S ferredoxin-type domain	IPR001041
2Fe-2S-bd	IPR002888
2Fe-2S_ferredoxin-type	IPR001041
2Npropane_dOase	IPR004136
2OGFeDO domain, nucleic acid-modifying type	IPR024779
2OGFeDO_nucleic_acid_mod	IPR024779
2TM domain	IPR025698
2TM_dom	IPR025698
2pore_dom_K_chnl_dom	IPR013099
3'-5' exonuclease domain	IPR002562
3'-5'_exonuclease_PolB-like	IPR019288
3'-5'_exonuclease_dom	IPR002562
3'5'-cyclic nucleotide phosphodiesterase N-terminal	IPR013706
3'5'-cyclic nucleotide phosphodiesterase PDE8	IPR013938
3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	IPR002073
3-OHacyl-CoA_DH_NAD-bd	IPR006176
3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	IPR013751
3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C-terminal	IPR013747
3-alpha domain	IPR005163
3-alpha_domain	IPR005163
3-beta hydroxysteroid dehydrogenase/isomerase	IPR002225
3-demethylubiquinone-9 3-methyltransferase	IPR028973
3-deoxy-D-manno-octulosonic-acid transferase, N-terminal	IPR007507
3-dmu-9_3-mt	IPR028973
3-hexulose-6-phosphate synthase	IPR017553
3-hexulose-6-phosphate_synth	IPR017553
3-hydroxyacyl-CoA dehydrogenase, C-terminal	IPR006108
3-hydroxyacyl-CoA dehydrogenase, NAD binding	IPR006176
3-hydroxyisobutyrate dehydrogenase, NAD-binding domain	IPR029154
3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	IPR001104
3-oxo-5_a-steroid_4-DH_C	IPR001104
3-oxoacid CoA-transferase, subunit A	IPR012792
3-oxoacid CoA-transferase, subunit B	IPR012791
3-oxoacid_CoA-transf_A	IPR012792
3-oxoacid_CoA-transf_B	IPR012791
30s ribosomal protein S13, C-terminal	IPR027437
