Abdominal Aorta	UA-ORG-1
Abdominal Aortas	UA-ORG-1
Abdominopelvic Cavity	UA-ORG-2
Abdominopelvic Cavities	UA-ORG-2
Abducens Nerve	UA-ORG-3
Abducens Nerves	UA-ORG-3
Abductor Pollicis Brevis	UA-ORG-5
Abductor Pollicis Brevi	UA-ORG-5
Abductor Pollicis Brevis Tendons	UA-ORG-6
Abductor Pollicis Brevis Tendon	UA-ORG-6
Accessory Digestive Organs	UA-ORG-8
Accessory Digestive Organ	UA-ORG-8
Accessory Nerve	UA-ORG-9
Accessory Nerves	UA-ORG-9
Acetabulum	UA-ORG-10
Acetabulums	UA-ORG-10
ACGT	UA-ORG-11
ACGTs	UA-ORG-11
Achilles tendon	UA-ORG-12
Achilles tendons	UA-ORG-12
Acoustic Nerve	UA-ORG-13
Acoustic Nerves	UA-ORG-13
Acquired immunity	UA-ORG-14
Acquired immunities	UA-ORG-14
Acromial End of the Clavicle	UA-ORG-15
Acromial End of the Clavicles	UA-ORG-15
Acromioclavicular Ligaments	UA-ORG-16
Acromioclavicular Ligament	UA-ORG-16
Acromion Process	UA-ORG-17
Acromion Proces	UA-ORG-17
Active Immunity	UA-ORG-18
Active Immunities	UA-ORG-18
Adam's apple	UA-ORG-19
Adam's apples	UA-ORG-19
Adduction	UA-ORG-20
Adductions	UA-ORG-20
Adductor Brevis	UA-ORG-21
Adductor Brevi	UA-ORG-21
Adductor Brevis Tendons	UA-ORG-22
Adductor Brevis Tendon	UA-ORG-22
Adductor Longus	UA-ORG-23
Adductor Longu	UA-ORG-23
Adductor Longus Tendons	UA-ORG-24
Adductor Longus Tendon	UA-ORG-24
Adductor Magnus	UA-ORG-25
Adductor Magnu	UA-ORG-25
Adductor Magnus Tendons	UA-ORG-26
Adductor Magnus Tendon	UA-ORG-26
Adenoids	UA-ORG-27
Adenoid	UA-ORG-27
Adenosine	UA-ORG-28
Adenosines	UA-ORG-28
Adrenal Androgen Hormones	UA-ORG-29
Adrenal Androgen Hormone	UA-ORG-29
Adrenal cortex	UA-ORG-30
Adrenal cortexs	UA-ORG-30
Adrenal Cortical Hormones	UA-ORG-31
Adrenal Cortical Hormone	UA-ORG-31
Adrenal glands	UA-ORG-32
Adrenal gland	UA-ORG-32
Adrenal Hormones	UA-ORG-33
Adrenal Hormone	UA-ORG-33
Adrenal medulla	UA-ORG-34
Adrenal medullas	UA-ORG-34
Adrenal Steroid Hormones	UA-ORG-35
Adrenal Steroid Hormone	UA-ORG-35
Adrenocorticotropic Hormone	UA-ORG-36
Adrenocorticotropic Hormones	UA-ORG-36
Afferent Lymph Vessels	UA-ORG-37
Afferent Lymph Vessel	UA-ORG-37
Agranulocytes	UA-ORG-38
Agranulocyte	UA-ORG-38
Ala of the Ilium	UA-ORG-39
Ala of the Iliums	UA-ORG-39
Aldosterone	UA-ORG-40
Aldosterones	UA-ORG-40
Alimentary Canal	UA-ORG-41
Alimentary Canals	UA-ORG-41
Alveoli	UA-ORG-42
Alveolis	UA-ORG-42
Ampulla	UA-ORG-43
Ampullas	UA-ORG-43
Amylase	UA-ORG-44
Amylases	UA-ORG-44
Anabolism	UA-ORG-45
Anabolisms	UA-ORG-45
Anal Canal	UA-ORG-46
Anal Canals	UA-ORG-46
Ankle	UA-ORG-47
Ankles	UA-ORG-47
Anterior Cervical Lymph Nodes	UA-ORG-48
Anterior Cervical Lymph Node	UA-ORG-48
Anterior Crest of the Tibia	UA-ORG-49
Anterior Crest of the Tibias	UA-ORG-49
Anterior Cruciate Ligament	UA-ORG-50
Anterior Cruciate Ligaments	UA-ORG-50
