ADAM17	P78536
AKT1	P31749
AMPK	Q13131
AP1	P05412
ASK	Q9UBU7
ATG4A	Q8WYN0
ATM	Q13315
Bach1	O14867
BclXL	Q07817
Cas8	Q14790
CD122	P14784
CD132	P31785
CD25	P01589
CD28	P10747 
Chk2	O96017
cIAP-1	Q13490
DUSP13	Q9UII6
E2F	Q01094
EGF	P01133
EGF	P01133
EGF	P01133
EGFR	P00533
ERK1	P27361
ExoCx	Q9NV70
FGF1	P05230
FGFR1	P11362
Fibronectin	P02751
Fos	P01100
FOXP3	B7ZLG1 
GST	P08263
HIF1a	Q16665
HMGB1	P09429
ICMT	O60725
IFNg	P01579
IFNgR	P15260
IGF1	P05019
IGF1R	P08069
IL-2	P60568 
IL2R	A2N4P8
IL8	P10145
Integrin	P08648
JAK1	P23458
JAK3	P52333 
JNK1	P45983
KRas	P01116
LKB1	Q15831
LTBP	Q14766
MDM2	Q00987
MEK1	Q02750
Mek2	P36507
MKK7	O14733 
MRN	O60934
mTOR	P42345
NFAT	Q13469
NFkB	P19838
NOx	Q9Y5S8
Nrf2	Q16236
p21	P38936
p21	P38936
p38MAPK	Q16539
p53	P04637
PDGF	P04085
PDGFR	P16234
PDK1	O15530
Peroxiredoxin	P32119
PI3K	P42336
PKCa	P17252
PKCTHETA	Q04759 
PP2A	P67775
pS6	P62753 
PTEN	P60484
PTEN	P60484
RAC1	P63000
Raf	P04049
RAGE	Q15109
Rb	P06400
Ref1	P27695
RHEB	Q15382 
RhoC	P08134
RIPK	Q13546
RPS6KA1	Q15418
SMAD3	P84022
SMAD3	P84022
SOD	P00441
Src	P12931
STAT1	P42224
STAT5	P42229
TAK1	O43318 
TCR	P04234
TGFb1	P01137
TGFbR	P36897
Thioredoxin	P10599
TIGAR	Q9NQ88
TNFa	P01375
TNFaR	P19438
TRAF2	Q12933
Trop2	P09758
TSC	Q99576 
TSC2	P49815
VEGF	P15692
VEGFR	P17948
Wnt	P04628
