blood cells	UA-CT-1
blood cell	UA-CT-1
islet of langerhans cells	UA-CT-2
islet of langerhans cell	UA-CT-2
plasma cell	UA-CT-3
plasma cells	UA-CT-3
red blood cells	UA-CT-4
red blood cell	UA-CT-4
white blood cells	UA-CT-5
white blood cell	UA-CT-5
band cells	UA-CT-6
band cell	UA-CT-6
ethmoid air cells	UA-CT-7
ethmoid air cell	UA-CT-7
hair cells	UA-CT-8
hair cell	UA-CT-8
immune cells	UA-CT-9
immune cell	UA-CT-9
langerhans cells	UA-CT-10
langerhans cell	UA-CT-10
phagocytic cells	UA-CT-11
phagocytic cell	UA-CT-11
parafollicular cells	UA-CT-12
parafollicular cell	UA-CT-12
parathyroid chief cells	UA-CT-13
parathyroid chief cell	UA-CT-13
professional phagocytic cells	UA-CT-14
professional phagocytic cell	UA-CT-14
thyroid epithelial cells	UA-CT-15
thyroid epithelial cell	UA-CT-15
macrophages	UA-CT-16
macrophage	UA-CT-16
pinealocytes	UA-CT-17
pinealocyte	UA-CT-17
agranulocytes	UA-CT-18
agranulocyte	UA-CT-18
erythrocyte	UA-CT-19
erythrocytes	UA-CT-19
granulocytes	UA-CT-20
granulocyte	UA-CT-20
histiocytes	UA-CT-21
histiocyte	UA-CT-21
lymphocytes	UA-CT-22
lymphocyte	UA-CT-22
megakaryocytes	UA-CT-23
megakaryocyte	UA-CT-23
monocytes	UA-CT-24
monocyte	UA-CT-24
pinealocytes	UA-CT-25
pinealocyte	UA-CT-25
thrombocytes	UA-CT-26
thrombocyte	UA-CT-26
connective tissue	UA-CT-27
connective tissues	UA-CT-27
lymphatic tissue	UA-CT-28
lymphatic tissues	UA-CT-28
subcutaneous tissues	UA-CT-29
subcutaneous tissue	UA-CT-29
connective tissue matrix	UA-CT-30
connective tissue matrices	UA-CT-30
muscle tissue	UA-CT-31
muscle tissues	UA-CT-31
semen	UA-CT-32
seman	UA-CT-32
bile	UA-CT-33
biles	UA-CT-33
hair	UA-CT-34
hairs	UA-CT-34
villi	UA-CT-35
villa	UA-CT-35
cerebral spinal fluid	UA-CT-36
cerebral spinal fluids	UA-CT-36
cerebrospinal fluid	UA-CT-37
cerebrospinal fluids	UA-CT-37
pericardial fluid	UA-CT-38
pericardial fluids	UA-CT-38
pleural fluid	UA-CT-39
pleural fluids	UA-CT-39
synovial fluid	UA-CT-40
synovial fluids	UA-CT-40
B cell	UA-CT-100001
B cells	UA-CT-100002
DT40 B cells	UA-CT-100003
DT40 cells	UA-CT-100004
DT40 wild-type (wt), PKCbeta- (PKCbeta-/-), and CARMA1-deficient (CARMA1-/-) DT40 B cells	UA-CT-100005
NIH3T3 fibroblasts	UA-CT-100006
Oocytes	UA-CT-100007
PKCbeta-/- cells	UA-CT-100008
PKCbeta-deficient DT40 B cells	UA-CT-100009
PKCbeta-deficient DT40 cells	UA-CT-100010
PTP-1B was cotransfected with c-Src into alphaIIbbeta3-SYF cells	UA-CT-100011
PTP-1B+/+ platelets	UA-CT-100012
PTP-1B-/- platelets	UA-CT-100013
TAK-deficient DT40 B cells	UA-CT-100014
TAK1-deficient DT40 cells	UA-CT-100015
TAK1-deficient cells	UA-CT-100016
alphaIIbbeta3-SYF cells expressing c-Src	UA-CT-100017
alphaIIbbeta3-SYF cells were transfected with selected c-Src mutants	UA-CT-100018
fibrinogen binding to PTP-1B-/- platelets	UA-CT-100019
fibrinogen binding to alphaIIbbeta3-SYF cells (Fig. 3 b) or platelets	UA-CT-100020
fibrinogen binding to platelets	UA-CT-100021
fibrinogen-bound PTP-1B-/- platelets	UA-CT-100022
fibroblasts	UA-CT-100023
hematopoietic and nonhematopoietic cells	UA-CT-100024
human and mouse platelets	UA-CT-100025
immature and naive B lymphocytes	UA-CT-100026
mature B cells	UA-CT-100027
mouse embryonic fibroblasts	UA-CT-100028
nonlymphoid cells	UA-CT-100029
oocyte	UA-CT-100030
oocytes	UA-CT-100031
osteoclasts	UA-CT-100032
platelet	UA-CT-100033
platelets	UA-CT-100034
primary B cells after BCR stimulation	UA-CT-100035
resting platelets	UA-CT-100036
wild-type DT40 cells	UA-CT-100037
wild-type and PKCbeta-deficient DT40 B cells	UA-CT-100038
wild-type and PKCbeta-deficient DT40 cells	UA-CT-100039
wild-type or PKCbeta-/- DT40 cells	UA-CT-100040
wild-type or TAK-/- DT40 cells	UA-CT-100041
wild-type platelets with MnCl2 and fibrinogen	UA-CT-100042
brain	UA-CT-200001
embryo	UA-CT-200002
embryos	UA-CT-200003
spleens	UA-CT-200004
